0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:26:35 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:26:36 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:26:36 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:27:10 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:27:10 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:27:17 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1251
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:28:06 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:28:06 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:28:06 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:28:07 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:28:07 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:28:07 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:28:07 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:28:07 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:29:56 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:29:56 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:29:56 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:29:56 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:29:58 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:29:58 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:29:58 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:29:58 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:29:58 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:29:58 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:29:59 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:29:59 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:30:19 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:30:19 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:30:19 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:30:19 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:30:19 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1224
